成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,市场名称,交易市场,
20260612,13:58:03,300782,卓胜微,卖出,-200,0104000071726974,88.240,17648.000,300.00,17634.180,5.000,8.820,0.000,116097.510,24032,深圳Ａ股,深圳Ａ股,
20260612,10:22:01,300782,卓胜微,买入,200,0104000035416157,91.020,18204.000,500.00,-18209.000,5.000,0.000,0.000,98463.330,11898,深圳Ａ股,深圳Ａ股,
20260612,09:36:44,002354,天娱数科,买入,500,0103000010719186,7.590,3795.000,500.00,-3800.000,5.000,0.000,0.000,116672.330,5224,深圳Ａ股,深圳Ａ股,
20260612,09:34:08,600458,时代新材,卖出,-300,6187467,15.580,4674.000,0.00,4666.610,5.000,2.340,0.050,120472.330,4100,上海Ａ股,上海Ａ股,
20260611,14:52:47,600458,时代新材,买入,300,68700237,15.300,4590.000,300.00,-4595.050,5.000,0.000,0.050,115805.720,23508,上海Ａ股,上海Ａ股,
20260608,17:00:01,300017,网宿科技,卖出,0,12535,14.310,100.000,400.00,100.000,0.000,0.000,0.000,120400.770,0,深圳Ａ股,深圳Ａ股,
20260605,13:31:53,002600,领益智造,卖出,-300,0103000068255090,15.260,4578.000,0.00,4570.710,5.000,2.290,0.000,120300.770,21120,深圳Ａ股,深圳Ａ股,
20260604,09:54:18,002600,领益智造,买入,300,0101000020834628,14.980,4494.000,300.00,-4499.000,5.000,0.000,0.000,115730.060,7950,深圳Ａ股,深圳Ａ股,
20260604,09:33:38,002171,楚江新材,卖出,-400,0103000006352478,12.650,5060.000,0.00,5052.470,5.000,2.530,0.000,120229.060,3073,深圳Ａ股,深圳Ａ股,
20260603,14:02:09,300782,卓胜微,买入,100,0101000070653901,105.860,10586.000,300.00,-10591.000,5.000,0.000,0.000,115178.090,22234,深圳Ａ股,深圳Ａ股,
